City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Pedro Ii,BR,2022-02-20 11:03:38,-4.4247,-41.4586,72.18,82,71,3.09
139,Asau,RO,2022-02-20 11:07:57,46.4333,26.4,48.76,54,100,5.68
140,San Lazaro,BZ,2022-02-20 11:07:57,18.0387,-88.6622,73.11,99,30,3.98
141,Luanda,AO,2022-02-20 11:07:57,-8.8368,13.2343,87.8,62,40,6.91
142,Esperance,AU,2022-02-20 11:07:58,-33.8667,121.9,64.67,73,88,15.93
143,Padang,ID,2022-02-20 11:07:58,-0.9492,100.3543,87.85,74,28,1.7
144,Narsaq,GL,2022-02-20 11:07:59,60.9167,-46.05,12.42,89,28,4.97
145,Chanute,US,2022-02-20 11:07:59,37.6792,-95.4572,43.88,61,0,16.11
146,San Quintin,MX,2022-02-20 11:07:59,30.4833,-115.95,56.07,78,100,6.22
147,Constitucion,CL,2022-02-20 11:08:00,-35.3333,-72.4167,56.89,88,58,9.64
148,Kirakira,SB,2022-02-20 11:08:00,-10.4544,161.9205,81.01,83,100,4.99
149,Port Elizabeth,ZA,2022-02-20 11:04:04,-33.918,25.5701,76.1,58,3,18.95
150,Hami,CN,2022-02-20 11:08:00,42.8,93.45,29.61,34,42,3.31
151,Kropotkin,RU,2022-02-20 11:08:01,45.4375,40.5756,51.64,57,98,18.57
152,Cairns,AU,2022-02-20 11:08:01,-16.9167,145.7667,80.55,84,34,6.91
153,Bethel,US,2022-02-20 11:08:01,41.3712,-73.414,20.48,71,0,0.0
154,Boyuibe,BO,2022-02-20 11:08:02,-20.4167,-63.2833,68.79,93,65,2.8
155,Sanguem,IN,2022-02-20 11:08:02,15.2333,74.1667,90.21,32,9,10.18
156,Inirida,CO,2022-02-20 11:08:03,3.8653,-67.9239,72.43,87,55,1.95
157,Chake Chake,TZ,2022-02-20 11:08:03,-5.2459,39.7666,91.85,51,83,2.28
